"ID","China","Estonia","Finland","France","Germany","India","Italy","Latvia","New.Zealand","Norway","Poland","Portugal","Spain","Sweden","Switzerland"
2000,0.604,0.932,0.632,0.906,0.715,1.366,0.82,1.279,0.906,0.734,1.17,0.89,0.673,0.648,1.493
2001,0.583,1.121,0.635,0.943,0.753,1.341,0.838,1.31,0.935,0.726,1.169,0.944,0.682,0.659,1.509
2002,0.647,1.194,0.673,0.982,0.785,1.306,0.841,1.388,0.942,0.745,1.187,0.977,0.715,0.677,1.526
2003,0.652,0.939,0.674,1.039,0.775,1.275,0.878,1.474,0.969,0.805,1.063,0.99,0.741,0.67,1.581
2004,0.628,0.911,0.656,1.069,0.757,1.224,0.884,1.209,0.955,0.824,1.058,1.025,0.79,0.676,1.619
2005,0.601,0.934,0.687,1.056,0.726,1.206,0.872,1.197,0.964,0.806,1.067,1.029,0.793,0.667,1.662
2006,0.606,0.936,0.675,1.061,0.706,1.194,0.846,1.22,0.98,0.811,1.014,1.023,0.811,0.653,1.614
2007,0.62,0.949,0.671,1.069,0.701,1.196,0.833,1.216,0.959,0.793,0.981,0.99,0.828,0.675,1.602
2008,0.618,0.898,0.696,1.055,0.7,1.216,0.964,1.264,0.969,0.804,0.969,0.98,0.791,0.709,1.592
2009,0.621,0.932,0.727,1.107,0.728,1.2,1.064,1.356,1.024,0.801,1.031,1.02,0.824,0.764,1.484
2010,0.633,0.839,0.692,1.087,0.704,1.183,0.937,1.234,1.006,0.776,0.924,0.963,0.795,0.753,1.555
2011,0.666,0.843,0.706,1.035,0.674,1.28,0.937,1.112,0.992,0.758,0.863,0.954,0.786,0.742,1.538
2012,0.667,0.875,0.681,1.077,0.676,1.237,0.924,1.135,1.017,0.767,0.866,0.977,0.793,0.736,1.382
2013,0.605,0.867,0.711,1.091,0.688,1.408,0.918,1.24,1.022,0.765,0.834,0.962,0.806,0.762,1.368
2014,0.577,0.895,0.712,1.114,0.712,1.277,0.926,1.275,1.045,0.769,0.795,0.976,0.81,0.792,1.438
2015,0.553,0.865,0.738,1.116,0.661,1.117,0.922,1.173,1.086,0.804,0.819,0.959,0.819,0.782,1.549
2016,0.55,0.872,0.729,1.145,0.677,1.131,0.891,1.166,1.102,0.833,0.8,0.977,0.853,0.811,1.503
2017,0.584,0.862,0.716,1.137,0.677,1.096,0.857,1.084,1.122,0.825,0.791,0.933,0.806,0.833,1.466
2018,0.578,0.871,0.753,1.13,0.709,1.12,0.861,1.144,1.127,0.818,0.795,0.951,0.818,0.821,1.418
2019,0.585,0.902,0.768,1.15,0.725,1.164,0.9,1.189,1.042,0.831,0.817,0.95,0.8,0.832,1.406
